storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,off,0.0,1,1,0,35,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,36,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,37,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,38,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,39,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,40,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,41,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,42,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,43,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,44,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,200,200
storage-0,off,0.0,1,1,0,45,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,46,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,1,1,0,47,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,48,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,0,100,100
storage-0,off,0.0,1,1,0,49,lease_2e14a6db24f44ffa992a9072723d8ab9,0,0,100,0,100
storage-0,off,0.0,2,0,0,0,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,500,600
storage-0,off,0.0,2,0,0,1,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,2,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,100,200
storage-0,off,0.0,2,0,0,3,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,4,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,100,100
storage-0,off,0.0,2,0,0,5,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,6,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,7,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,8,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,9,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,100,100
storage-0,off,0.0,2,0,0,10,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,11,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,0,200,200
storage-0,off,0.0,2,0,0,12,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
storage-0,off,0.0,2,0,0,13,lease_c84272b8ad4243fa8c14b99ff70ba59f,0,0,100,0,100
